"id";"muscle_id";"exercise_id";"body_part_id";"muscle_type"
598;9;43;3;"secondary"
599;12;43;3;"secondary"
600;27;43;3;"secondary"
601;26;43;3;"secondary"
602;34;43;3;"secondary"
603;6;43;3;"secondary"
604;7;43;3;"antagonistic"
605;23;43;3;"antagonistic"
606;24;43;3;"antagonistic"
607;14;43;3;"antagonistic"
608;31;43;3;"antagonistic"
609;3;44;3;"primary"
610;4;44;3;"primary"
611;19;44;3;"primary"
612;9;44;3;"secondary"
613;10;44;3;"secondary"
614;12;44;3;"secondary"
615;27;44;3;"secondary"
616;31;44;3;"secondary"
617;5;44;3;"secondary"
618;7;44;3;"antagonistic"
619;24;44;3;"antagonistic"
620;14;44;3;"antagonistic"
621;23;44;3;"antagonistic"
622;2;44;3;"antagonistic"
623;9;45;3;"primary"
624;12;45;3;"primary"
625;27;45;3;"primary"
626;26;45;3;"primary"
627;10;45;3;"secondary"
628;7;45;3;"secondary"
629;13;45;3;"secondary"
630;25;45;3;"secondary"
631;24;45;3;"secondary"
632;14;45;3;"secondary"
633;2;45;3;"secondary"
634;21;45;3;"secondary"
635;30;45;3;"secondary"
636;37;45;3;"secondary"
637;3;45;3;"antagonistic"
638;1;45;3;"antagonistic"
639;11;45;3;"antagonistic"
640;31;45;3;"antagonistic"
641;9;46;3;"primary"
642;12;46;3;"primary"
643;27;46;3;"primary"
644;26;46;3;"primary"
645;10;46;3;"secondary"
646;7;46;3;"secondary"
647;24;46;3;"secondary"
648;14;46;3;"secondary"
649;13;46;3;"secondary"
650;25;46;3;"secondary"
651;2;46;3;"secondary"
652;21;46;3;"secondary"
653;3;46;3;"antagonistic"
654;1;46;3;"antagonistic"
655;11;46;3;"antagonistic"
656;31;46;3;"antagonistic"
657;3;47;3;"primary"
658;9;47;3;"primary"
659;10;47;3;"primary"
660;12;47;3;"secondary"
661;27;47;3;"secondary"
662;26;47;3;"secondary"
663;39;47;3;"secondary"
664;38;47;3;"secondary"
665;31;47;3;"secondary"
666;28;47;3;"secondary"
667;25;47;3;"secondary"
668;13;47;3;"secondary"
669;30;47;3;"secondary"
670;7;47;3;"antagonistic"
671;1;47;3;"antagonistic"
672;11;47;3;"antagonistic"
673;2;47;3;"antagonistic"
674;12;48;3;"primary"
675;39;48;3;"primary"
676;25;48;3;"secondary"
677;13;48;3;"secondary"
678;27;48;3;"secondary"
679;3;48;3;"secondary"
680;10;48;3;"secondary"
681;9;48;3;"secondary"
682;38;48;3;"secondary"
683;11;48;3;"antagonistic"
684;26;48;3;"antagonistic"
685;1;48;3;"antagonistic"
686;7;48;3;"antagonistic"
687;21;49;3;"primary"
688;14;49;3;"primary"
689;9;49;3;"secondary"
690;25;49;3;"secondary"
691;13;49;3;"secondary"
692;12;49;3;"secondary"
693;27;49;3;"secondary"
694;26;49;3;"secondary"
695;6;49;3;"antagonistic"
696;7;49;3;"antagonistic"
697;1;49;3;"antagonistic"
698;11;49;3;"antagonistic"
699;6;50;3;"primary"
700;1;50;3;"primary"
701;11;50;3;"primary"
702;7;50;3;"secondary"
703;24;50;3;"secondary"
704;3;50;3;"secondary"
705;34;50;3;"secondary"
706;5;50;3;"secondary"
707;11;50;3;"secondary"
708;21;50;3;"antagonistic"
709;14;50;3;"antagonistic"
710;3;51;3;"primary"
711;4;51;3;"primary"
712;19;51;3;"primary"
713;31;51;3;"secondary"
714;10;51;3;"secondary"
715;9;51;3;"secondary"
716;27;51;3;"secondary"
717;12;51;3;"secondary"
718;5;51;3;"secondary"
719;7;51;3;"antagonistic"
720;14;51;3;"antagonistic"
721;24;51;3;"antagonistic"
722;23;51;3;"antagonistic"
723;2;51;3;"antagonistic"
724;3;52;3;"primary"
725;10;52;3;"primary"
726;2;52;3;"primary"
727;38;52;3;"primary"
728;9;52;3;"secondary"
729;19;52;3;"secondary"
730;12;52;3;"secondary"
731;5;52;3;"secondary"
732;7;52;3;"antagonistic"
733;31;52;3;"antagonistic"
734;23;52;3;"antagonistic"
735;9;53;3;"primary"
736;12;53;3;"primary"
737;27;53;3;"primary"
738;26;53;3;"primary"
739;10;53;3;"secondary"
740;13;53;3;"secondary"
741;25;53;3;"secondary"
742;21;53;3;"secondary"
743;30;53;3;"secondary"
744;37;53;3;"secondary"
745;3;53;3;"antagonistic"
746;11;53;3;"antagonistic"
747;1;53;3;"antagonistic"
748;7;53;3;"antagonistic"
749;11;54;3;"primary"
750;26;54;3;"primary"
751;13;54;3;"secondary"
752;25;54;3;"secondary"
753;12;54;3;"antagonistic"
754;39;54;3;"antagonistic"
755;12;55;3;"primary"
757;42;55;3;"primary"
766;39;55;3;"secondary"
768;11;55;3;"antagonistic"
769;52;55;3;"antagonistic"
773;56;56;3;"primary"
774;52;56;3;"primary"
783;12;56;3;"antagonistic"
785;42;56;3;"antagonistic"
792;19;56;3;"antagonistic"
793;39;56;3;"antagonistic"
795;42;57;3;"primary"
796;56;57;3;"primary"
797;52;57;3;"secondary"
798;39;57;3;"secondary"
801;3;58;3;"primary"
802;10;58;3;"primary"
803;35;58;3;"primary"
804;36;58;3;"primary"
805;38;58;3;"primary"
806;9;58;3;"secondary"
807;19;58;3;"secondary"
808;12;58;3;"secondary"
809;34;58;3;"secondary"
810;5;58;3;"secondary"
811;33;58;3;"secondary"
812;7;58;3;"antagonistic"
813;31;58;3;"antagonistic"
814;23;58;3;"antagonistic"
815;10;60;3;"primary"
816;38;60;3;"primary"
817;3;60;3;"secondary"
818;9;60;3;"secondary"
819;12;60;3;"secondary"
820;27;60;3;"secondary"
821;26;60;3;"secondary"
822;5;60;3;"secondary"
823;34;60;3;"secondary"
824;6;60;3;"secondary"
825;7;60;3;"antagonistic"
826;23;60;3;"antagonistic"
827;24;60;3;"antagonistic"
828;14;60;3;"antagonistic"
829;33;60;3;"antagonistic"
830;31;60;3;"antagonistic"
831;10;61;3;"primary"
832;38;61;3;"primary"
833;3;61;3;"secondary"
834;9;61;3;"secondary"
835;12;61;3;"secondary"
836;27;61;3;"secondary"
837;26;61;3;"secondary"
838;5;61;3;"secondary"
839;34;61;3;"secondary"
840;6;61;3;"secondary"
841;7;61;3;"antagonistic"
842;23;61;3;"antagonistic"
843;14;61;3;"antagonistic"
844;24;61;3;"antagonistic"
845;33;61;3;"antagonistic"
846;31;61;3;"antagonistic"
847;3;62;3;"primary"
848;4;62;3;"primary"
849;19;62;3;"secondary"
850;10;62;3;"secondary"
851;9;62;3;"secondary"
