"id";"muscle_id";"exercise_id";"body_part_id";"muscle_type";"active"
554;12;40;3;"secondary";1
555;34;40;3;"secondary";1
556;5;40;3;"secondary";1
557;33;40;3;"secondary";1
558;7;40;3;"antagonistic";0
559;31;40;3;"antagonistic";0
560;23;40;3;"antagonistic";0
561;3;41;3;"primary";1
562;4;41;3;"primary";1
563;35;41;3;"primary";1
564;36;41;3;"primary";1
565;38;41;3;"primary";1
566;10;41;3;"secondary";1
567;9;41;3;"secondary";1
568;19;41;3;"secondary";1
569;34;41;3;"secondary";1
570;12;41;3;"secondary";1
571;27;41;3;"secondary";1
572;26;41;3;"secondary";1
573;33;41;3;"secondary";1
574;7;41;3;"antagonistic";0
575;24;41;3;"antagonistic";0
576;23;41;3;"antagonistic";0
577;31;41;3;"antagonistic";0
578;14;41;3;"antagonistic";0
579;10;42;3;"primary";1
580;38;42;3;"primary";1
581;3;42;3;"secondary";1
582;9;42;3;"secondary";1
583;12;42;3;"secondary";1
584;27;42;3;"secondary";1
585;26;42;3;"secondary";1
586;5;42;3;"secondary";1
587;34;42;3;"secondary";1
588;6;42;3;"secondary";1
589;7;42;3;"antagonistic";0
590;23;42;3;"antagonistic";0
591;14;42;3;"antagonistic";0
592;24;42;3;"antagonistic";0
593;33;42;3;"antagonistic";0
594;31;42;3;"antagonistic";0
595;10;43;3;"primary";1
596;38;43;3;"primary";1
597;3;43;3;"secondary";1
598;9;43;3;"secondary";1
599;12;43;3;"secondary";1
600;27;43;3;"secondary";1
601;26;43;3;"secondary";1
602;34;43;3;"secondary";1
603;6;43;3;"secondary";1
604;7;43;3;"antagonistic";0
605;23;43;3;"antagonistic";0
606;24;43;3;"antagonistic";0
607;14;43;3;"antagonistic";0
608;31;43;3;"antagonistic";0
609;3;44;3;"primary";1
610;4;44;3;"primary";1
611;19;44;3;"primary";1
612;9;44;3;"secondary";1
613;10;44;3;"secondary";1
614;12;44;3;"secondary";1
615;27;44;3;"secondary";1
616;31;44;3;"secondary";1
617;5;44;3;"secondary";1
618;7;44;3;"antagonistic";0
619;24;44;3;"antagonistic";0
620;14;44;3;"antagonistic";0
621;23;44;3;"antagonistic";0
622;2;44;3;"antagonistic";0
623;9;45;3;"primary";1
624;12;45;3;"primary";1
625;27;45;3;"primary";1
626;26;45;3;"primary";1
627;10;45;3;"secondary";1
628;7;45;3;"secondary";1
629;13;45;3;"secondary";1
630;25;45;3;"secondary";1
631;24;45;3;"secondary";1
632;14;45;3;"secondary";1
633;2;45;3;"secondary";1
634;21;45;3;"secondary";1
635;30;45;3;"secondary";1
636;37;45;3;"secondary";1
637;3;45;3;"antagonistic";0
638;19;45;3;"antagonistic";0
639;11;45;3;"antagonistic";0
640;31;45;3;"antagonistic";0
641;9;46;3;"primary";1
642;12;46;3;"primary";1
643;27;46;3;"primary";1
644;26;46;3;"primary";1
645;10;46;3;"secondary";1
646;7;46;3;"secondary";1
647;24;46;3;"secondary";1
648;14;46;3;"secondary";1
649;13;46;3;"secondary";1
650;25;46;3;"secondary";1
651;2;46;3;"secondary";1
652;21;46;3;"secondary";1
653;3;46;3;"antagonistic";0
654;19;46;3;"antagonistic";0
655;11;46;3;"antagonistic";0
656;31;46;3;"antagonistic";0
657;3;47;3;"primary";1
658;9;47;3;"primary";1
659;10;47;3;"primary";1
660;12;47;3;"secondary";1
661;27;47;3;"secondary";1
662;26;47;3;"secondary";1
663;39;47;3;"secondary";1
664;38;47;3;"secondary";1
665;31;47;3;"secondary";1
666;28;47;3;"secondary";1
667;25;47;3;"secondary";1
668;13;47;3;"secondary";1
669;30;47;3;"secondary";1
670;7;47;3;"antagonistic";0
671;19;47;3;"antagonistic";0
672;11;47;3;"antagonistic";0
673;2;47;3;"antagonistic";0
674;12;48;3;"primary";1
675;39;48;3;"primary";1
676;25;48;3;"secondary";1
677;13;48;3;"secondary";1
678;27;48;3;"secondary";1
679;3;48;3;"secondary";1
680;10;48;3;"secondary";1
681;9;48;3;"secondary";1
682;38;48;3;"secondary";1
683;11;48;3;"antagonistic";0
684;26;48;3;"antagonistic";0
685;19;48;3;"antagonistic";0
686;7;48;3;"antagonistic";0
687;21;49;3;"primary";1
688;14;49;3;"primary";1
689;9;49;3;"secondary";1
690;25;49;3;"secondary";1
691;13;49;3;"secondary";1
692;12;49;3;"secondary";1
693;27;49;3;"secondary";1
694;26;49;3;"secondary";1
695;6;49;3;"antagonistic";0
696;7;49;3;"antagonistic";0
697;19;49;3;"antagonistic";0
698;11;49;3;"antagonistic";0
699;6;50;3;"primary";1
700;19;50;3;"primary";1
701;11;50;3;"primary";1
702;7;50;3;"secondary";1
703;24;50;3;"secondary";1
704;3;50;3;"secondary";1
705;34;50;3;"secondary";1
706;5;50;3;"secondary";1
707;11;50;3;"secondary";1
708;21;50;3;"antagonistic";0
709;14;50;3;"antagonistic";0
710;3;51;3;"primary";1
711;4;51;3;"primary";1
712;19;51;3;"primary";1
713;31;51;3;"secondary";1
714;10;51;3;"secondary";1
715;9;51;3;"secondary";1
716;27;51;3;"secondary";1
717;12;51;3;"secondary";1
718;5;51;3;"secondary";1
719;7;51;3;"antagonistic";0
720;14;51;3;"antagonistic";0
721;24;51;3;"antagonistic";0
722;23;51;3;"antagonistic";0
723;2;51;3;"antagonistic";0
724;3;52;3;"primary";1
725;10;52;3;"primary";1
726;2;52;3;"primary";1
727;38;52;3;"primary";1
728;9;52;3;"secondary";1
729;19;52;3;"secondary";1
730;12;52;3;"secondary";1
731;5;52;3;"secondary";1
732;7;52;3;"antagonistic";0
733;31;52;3;"antagonistic";0
